,Start Time,End Time,Cleaned Text,Score
0,83.0,89.96,covid thank author slide provid book also websit,0.35178315149422107
1,89.96,99.32,use present rule cours ask question,0.4057278041411057
2,99.32,106.28,discuss forum feel free ask question perspect may differ,0.333093930221522
3,106.28,112.76,apt mind correct make mistak rememb continu learn mode,0.33256483901367595
4,113.16,121.32,take note slide avail web final pleas make sure,0.3319153589183939
5,121.32,127.48,cell phone shear mode chat window busi mode give undivid,0.346148679692398
6,127.48,138.52,attent understand cours want reiter learn object,0.37614654833069167
7,138.52,147.48000000000002,upon complet lectur abl understand inform secur,0.3670536726315158
8,148.20000000000002,155.16000000000005,modern day contest also earli day call comput secur evolv,0.340473892694892
9,155.16000000000005,162.20000000000002,inform secur understand mani key term critic concept inform secur,0.3607384138141144
10,162.2,172.11999999999998,modern day importantli understand way organ driven,0.37651460246304175
11,172.11999999999998,177.79999999999998,manag organ would organogram organ would,0.5250438204856404
12,177.79999999999998,186.12,respons four object import appreci,0.44573634046649413
13,186.2,192.28,inform secur object subtl concept,0.432544295228056
14,194.68,199.72,hope mani know burton roussel burton roussel came small statement,0.37235447950726064
15,200.52,205.88,small much well known small jargon small statement,0.46683963860895056
16,205.88,211.96,obvious enemi correct mani thing teach,0.405622943559139
17,211.96,219.4,cours debat cours obviou thing follow,0.4700838615487588
18,219.4,227.88,land issu teach obviou thing mean,0.40728379965333095
19,228.12,234.76,neglect thing global scenario would,0.4451127782720065
20,234.76,245.48,learn object cours mention earlier six modul sub modul,0.3673495499370962
21,245.48,252.44,modul one discuss entir modul one would inform,0.43048480101366576
22,252.44,259.72,secur need cia import term inform secur,0.40948181975800885
23,259.8,268.28000000000003,basic talk confidenti integr avail bring,0.4069749858948864
24,268.28000000000003,275.08000000000004,confidenti integr avail inform secur system lot,0.3712151977787939
25,275.08000000000004,281.64000000000004,thing need done see three bullet point follow,0.3522135575117533
26,282.20000000000005,288.52000000000004,necessari build confidenti integr avail system,0.4034969796819901
27,289.0,297.24,exampl polici procedur guidelin standard secur perspect,0.3702456004494787
28,297.24,305.64,administr measur technic measur need enforc three cia,0.39431929584046094
29,305.64,311.96,basic foundat inform secur goal inform secur,0.4537794623068304
30,312.2,322.36,also look peopl process technolog peopl one follow process,0.3984478090465641
31,322.92,329.56,process implement technolog secur address technolog,0.46327799750118387
32,329.56,337.64,level process use technolog peopl actual use process,0.43192329459573514
33,337.64,346.04,lot inform lot disciplin polici procedur peopl,0.42495379991089327
34,346.6,353.4,need implement one stage name peopl level process level,0.3651869136273164
35,353.4,357.56,technolog level modul talk deepli,0.4448514532302356
36,358.2,369.16,talk kevin mitnik actual hacker actual cyber crimin,0.39061066965625385
37,370.36,379.0,actual captur arrest fbi came back becam one world,0.32995621991766905
38,379.96,391.24,one world renown comput secur expert came interest,0.3440080870621267
39,391.24,397.8,statement obviou statement peopl weakest link particular,0.425882844654195
40,397.8,406.76,phrase known decad whenev secur laps majorli may go,0.32757341446915417
41,406.92,415.64,peopl unawar certain secur measur though know peopl,0.3837961446421315
42,415.64,425.08,weakest link mani mani organ actual invest educ peopl,0.36485374443913365
43,425.08,432.52,issu secur kevin mitnik statement read screen,0.3708963055349656
